Sample	Replicate	Tissue	AlignsTo
fbfemale_r1_alt	one	fbfemale	alt
fbfemale_r1_ref	one	fbfemale	ref
fbfemale_r2_alt	two	fbfemale	alt
fbfemale_r2_ref	two	fbfemale	ref
fbmale_r1_alt	one	fbmale	alt
fbmale_r1_ref	one	fbmale	ref
fbmale_r2_alt	two	fbmale	alt
fbmale_r2_ref	two	fbmale	ref
oefemale_r1_alt	one	oefemale	alt
oefemale_r1_ref	one	oefemale	ref
oefemale_r2_alt	two	oefemale	alt
oefemale_r2_ref	two	oefemale	ref
oemale_r1_alt	one	oemale	alt
oemale_r1_ref	one	oemale	ref
oemale_r2_alt	two	oemale	alt
oemale_r2_ref	two	oemale	ref
